Candidate,Party,Criminal Cases,Education,Age,City
Viswarupu Pinipe,Yuvajana Sramika Rythu Congress Party, 1 ,Graduate Professional,51,AMALAPURAM
Yalangi Ramesh,IND,0,Post Graduate,50,AMALAPURAM
Muttamsetti Srinivasa Rao,TDP, 1 ,Illiterate,47,ANAKAPALLE
Appalaraju Sadaram,IND,0,Graduate,60,ANAKAPALLE
Avss Amarnadh Gudivada,Yuvajana Sramika Rythu Congress Party, 6 ,Graduate Professional,29,ANAKAPALLE
Kondaraju Jampana,Jai Samaikyandhra Party,0,12th Pass,47,ANAKAPALLE
Sarisa Leela Prasanna Kumari,Pyramid Party of India,0,8th Pass,0,ANAKAPALLE
Smt. Thota Vijaya Lakshmi,INC,0,Post Graduate,44,ANAKAPALLE
Tirupathi Rao Karanam,BSP, 1 ,Graduate Professional,46,ANAKAPALLE
Vadlamuri Krishna Swaroop,Dalita Bahujana Party,0,Post Graduate,41,ANAKAPALLE
Jutur Chinna Reddy Divakar Reddy,TDP,0,12th Pass,70,ANANTAPUR
Anantha Venkata Rami Reddy,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,57,ANANTAPUR
Bandaru Srinivasulu,IND,0,Not Given,47,ANANTAPUR
Boya Anil Kumar,Jai Samaikyandhra Party,0,8th Pass,26,ANANTAPUR
Bujji Reddy Venugopal Reddy,Indian Christian Secular Party,0,Post Graduate,53,ANANTAPUR
Deshmukh Somanath,IND,0,10th Pass,46,ANANTAPUR
G Lalitha,SUCI(C), 1 ,Graduate Professional,51,ANANTAPUR
Gujjala Nagaraju,IND,0,10th Pass,37,ANANTAPUR
K.nagaraju,BSP,0,10th Pass,40,ANANTAPUR
P. Anil Chowdary,INC,0,Graduate,46,ANANTAPUR
Pavan Kumar,Pyramid Party of India,0,Graduate,27,ANANTAPUR
Shaik. Mohammad Shafi,IND,0,Post Graduate,54,ANANTAPUR
T. Kuldeep Choudary,Samaikya Telugu Rajyam,0,Graduate Professional,60,ANANTAPUR
Kothapalli Geetha,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,43,ARAKU
Biddika Ramayya,IND,0,Literate,52,ARAKU
Boorjabariki Dhanaraju,AAP,0,Graduate,33,ARAKU
Gummidi Sandhya Rani,TDP,0,Graduate,41,ARAKU
Illa Ramireddy,IND,0,5th Pass,60,ARAKU
Kangala Baludora,IND,0,5th Pass,59,ARAKU
Kishore Chandra Suryanarayana Deo Vyricherla,INC,0,Post Graduate,67,ARAKU
Midiyam Baburao,CPI(M),0,Graduate Professional,63,ARAKU
Sallangi Ratnam,IND,0,Graduate,35,ARAKU
Sankara Rao Chetti,IND,0,Post Graduate,33,ARAKU
Sankara Rao Vanugu,IND,0,Doctorate,39,ARAKU
Malyadri Sriram,TDP,0,Post Graduate,60,BAPATLA
Bandela Nageswara Rao,IND,0,10th Pass,31,BAPATLA
Eda Chennaiah,AAP,0,Others,39,BAPATLA
Gadde Thyagaraju,IND,0,Graduate,0,BAPATLA
Gogulamudi Narasimha Rao,IND,0,10th Pass,34,BAPATLA
Golla Babu Rao,IND,0,Post Graduate,0,BAPATLA
Nakkala Veeranjaneyulu,IND,0,Post Graduate,39,BAPATLA
Panabaka Lakshmi,INC,0,Post Graduate,56,BAPATLA
Perli Prasanna Deevena Kumar,Indian Labour Party (Ambedkar Phule), 1 ,Post Graduate,48,BAPATLA
Philipu Dwarapalli,BSP,0,Graduate Professional,45,BAPATLA
Ratnababu Mamidi,IND,0,Post Graduate,29,BAPATLA
Rayapati David Wilson,Jai Samaikyandhra Party,0,Graduate Professional,47,BAPATLA
Varikuti Amruthapani,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,54,BAPATLA
Yellamati Ramesh,Pyramid Party of India,0,10th Pass,25,BAPATLA
Naramalli Sivaprasad,TDP,0,Graduate Professional,62,CHITTOOR
B Rajagopal,INC,0,Doctorate,64,CHITTOOR
C S Udaya,Pyramid Party of India,0,Post Graduate,34,CHITTOOR
D.jithendra Kumar,BSP,0,Graduate,38,CHITTOOR
Gandavarapu Samanya,Yuvajana Sramika Rythu Congress Party,0,Doctorate,35,CHITTOOR
P Pushpa Raj,Jai Samaikyandhra Party,0,Graduate Professional,57,CHITTOOR
S Anjappa,IND,0,10th Pass,43,CHITTOOR
Venkateswara Rao Maganti,TDP, 2 ,10th Pass,54,ELURU
C.v.sarada Devi,IND,0,Graduate,53,ELURU
Juluri Bhaskara Veera Venkata Anil Kumar Gupta,IND, 1 ,12th Pass,34,ELURU
Kamarushi Veera Venkata Satyanarayana,Jai Samaikyandhra Party,0,5th Pass,68,ELURU
Korukonda Vijaya Lakshmi Pandit,IND,0,12th Pass,50,ELURU
Mendem Santosh Kumar,Indian Labour Party (Ambedkar Phule),0,Not Given,39,ELURU
Musunuri Nageswara Rao,INC,0,8th Pass,61,ELURU
Nagaraju Savanapudi,Marxist Communist Party of India (United),0,Illiterate,55,ELURU
Nannapaneni Gangadhara Rao,IND,0,Graduate,65,ELURU
Ramesh Babu Netala,BSP,0,Graduate,51,ELURU
Thota Chandra Sekhar,Yuvajana Sramika Rythu Congress Party,0,Doctorate,52,ELURU
Uda Venkateswararao,IND,0,Post Graduate,48,ELURU
Venkata Rama Rao Uppala,Pyramid Party of India,0,10th Pass,47,ELURU
Vijaya Kumari Govada,Prem Janata Dal,0,10th Pass,38,ELURU
Yantrapati Ashok,Mahajana Socialist Party,0,Graduate,52,ELURU
Jayadev Galla,TDP,0,Graduate,48,GUNTUR
Abburi Koteswara Rao,Pyramid Party of India,0,10th Pass,49,GUNTUR
Abdul Waheed Shaik,INC,0,10th Pass,44,GUNTUR
Arudala Venkateswara Rao,IND,0,5th Pass,41,GUNTUR
Balashowry Vallabhaneni,Yuvajana Sramika Rythu Congress Party,0,Graduate,45,GUNTUR
Bitra Venkata Sivannarayana,IND,0,10th Pass,36,GUNTUR
Emani Chandra Sekhar Rao,Navodyam Party,0,Graduate,47,GUNTUR
Kata Venkata Bhavani Veera Vara Prasad,AAP,0,Post Graduate,44,GUNTUR
Koutharapu Ravindra,Great India Party, 2 ,Graduate Professional,0,GUNTUR
Mallela Babu Rao,BSP,0,Post Graduate,60,GUNTUR
Mallela Venkata Rao,Jai Samaikyandhra Party,0,12th Pass,48,GUNTUR
Udaia Kumar Musuku,Indian Christian Secular Party,0,Post Graduate,57,GUNTUR
Kristappa Nimmala,TDP, 2 ,Graduate,57,HINDUPUR
Amudala Subramanyam,Rayalaseema Parirakshana Samithi,0,Post Graduate,0,HINDUPUR
Appireddygari Konda Reddy,IND,0,12th Pass,41,HINDUPUR
C.anand Kumar,Pyramid Party of India,0,Post Graduate,28,HINDUPUR
Chinta Sarath Kumar Reddy,IND,0,Graduate,31,HINDUPUR
Deshmukh Somnath,IND,0,12th Pass,46,HINDUPUR
Duddukunta Sreedhar Reddy,Yuvajana Sramika Rythu Congress Party,0,Graduate,43,HINDUPUR
Gutturu Chinna Venkataramudu,INC, 1 ,10th Pass,54,HINDUPUR
K.m. Asadulla,IND,0,Post Graduate,61,HINDUPUR
K.m.shameer Basha,Jai Samaikyandhra Party,0,Graduate,39,HINDUPUR
K.pedda Reddi,IND, 3 ,10th Pass,48,HINDUPUR
M.sudhakar Naidu,IND,0,12th Pass,43,HINDUPUR
Avinash Reddy Yeduguri Sandinti,Yuvajana Sramika Rythu Congress Party, 1 ,Post Graduate,29,KADAPA
Gajjala Rama Subba Reddy,Pyramid Party of India,0,10th Pass,61,KADAPA
Lakshmi Reddy Putta,AIFB, 3 ,Graduate Professional,26,KADAPA
M. Hanumantha Reddy,BSP,0,12th Pass,35,KADAPA
Poreddy Prabhakar Reddy,IND, 3 ,10th Pass,48,KADAPA
Pullaiah Byri,Ambedkar National Congress, 1 ,10th Pass,65,KADAPA
Sajid Hussain,AAP,0,12th Pass,50,KADAPA
Shaik Ghouse Peer,Jai Samaikyandhra Party,0,Graduate Professional,52,KADAPA
Shobarani Varadi,Dalita Bahujana Party,0,8th Pass,42,KADAPA
Srinivasa Reddy Reddeppagari,TDP,0,12th Pass,46,KADAPA
Veena Ajaya Kumar,INC,0,Graduate Professional,51,KADAPA
Veera Anil Kumar Reddy Gandluru,JD(S),0,Graduate Professional,40,KADAPA
Venugopal Rachineni,Rashtriya Praja Congress (Secular), 1 ,Not Given,36,KADAPA
Yellipalem Ramesh Reddy,JD(U),0,10th Pass,46,KADAPA
Thota Venkata Narasimham,TDP,0,Graduate,53,KAKINADA
Arjunarao Yegupati,CPI(ML)L, 1 ,5th Pass,57,KAKINADA
Chaganti Suryanarayana Murty,IND,0,10th Pass,49,KAKINADA
Donam Neelakantam,IND,0,Post Graduate,43,KAKINADA
Donka Leelavathi,IND,0,5th Pass,62,KAKINADA
Guttula Annapurna Seshagiri Rao,IND,0,5th Pass,55,KAKINADA
Jalluri Venkateswarlu,IND,0,Graduate Professional,47,KAKINADA
Kola Venkata Prasad Varma,RJD,0,10th Pass,48,KAKINADA
Kunche Ramadas,IND,0,Post Graduate,69,KAKINADA
Mangapati Pallam Raju Mallipudi,INC,0,Post Graduate,51,KAKINADA
Merla Bhavani Sankara Prasad,IND,0,5th Pass,52,KAKINADA
Motha Sarada,Republican Party of India (Khobragade),0,10th Pass,33,KAKINADA
Pepakayala Rajendra,IND,0,Graduate,48,KAKINADA
Prabhakara Rao Madiki,IND,0,Post Graduate,45,KAKINADA
Ratna Kumar Muthabathula,BSP,0,12th Pass,37,KAKINADA
Rokkam Dayakar,Republican Paksha (Khoripa), 1 ,Post Graduate,45,KAKINADA
Srinivas Dangeti,AAP,0,Graduate Professional,44,KAKINADA
Sunil Kumar Chalamalasetty,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,44,KAKINADA
Tekumudi Venkata Rao,Pyramid Party of India,0,Literate,55,KAKINADA
Tummalapalli Satya Ramakrishna,Jai Samaikyandhra Party, 1 ,Graduate,38,KAKINADA
Venkata Appala Narasimha Rao Karra,IND,0,Graduate Professional,45,KAKINADA
Vijamalla Chitti Babu,IND, 1 ,Graduate,41,KAKINADA
Butta Renuka,Yuvajana Sramika Rythu Congress Party, 1 ,10th Pass,42,KURNOOL
Bendula Thirumala Naidu,TDP,0,Post Graduate,42,KURNOOL
D.chand Basha,IND,0,Post Graduate,37,KURNOOL
Dande Yugander,IND,0,10th Pass,45,KURNOOL
Elia Nagella,Welfare Party Of India,0,Post Graduate,76,KURNOOL
Gajula Jakeer Hussain,Jai Samaikyandhra Party,0,Graduate,35,KURNOOL
Kirankumar Vissa,AAP,0,Post Graduate,40,KURNOOL
Kondiparthi Venkat Prasad,RPI,0,Graduate,37,KURNOOL
Kothuru Satyanarayana Gupta,IND,0,Post Graduate,47,KURNOOL
Kotla Jaya Surya Prakash Reddy,INC,0,Graduate,62,KURNOOL
Mallikal,BSP,0,Graduate,43,KURNOOL
Noor Ahmed Madani,Socialistic Democratic Party,0,Post Graduate,55,KURNOOL
Konakalla Narayana Rao,TDP,0,12th Pass,64,MACHILIPATNAM
Jampana Srinivasa Goud,IND, 1 ,10th Pass,48,MACHILIPATNAM
Kammili Srinivas,Jai Samaikyandhra Party,0,Graduate Professional,42,MACHILIPATNAM
Kolusu Partha Sarathy,Yuvajana Sramika Rythu Congress Party, 6 ,12th Pass,48,MACHILIPATNAM
Mohammad Ishaq,IND,0,10th Pass,41,MACHILIPATNAM
Parasa Srinivasa Rao,IND, 1 ,10th Pass,35,MACHILIPATNAM
Peggam Prasada Rao,BSP,0,Post Graduate,37,MACHILIPATNAM
Sistla Ramesh,INC,0,Graduate Professional,51,MACHILIPATNAM
Vadapalli Raghunadh,Pyramid Party of India,0,Graduate,63,MACHILIPATNAM
Yarlagadda Rama Mohana Rao,IND,0,12th Pass,51,MACHILIPATNAM
Yenduri Subramanyeswara Rao,IND,0,10th Pass,55,MACHILIPATNAM
S.p.y Reddy,Yuvajana Sramika Rythu Congress Party, 2 ,Graduate Professional,64,NANDYAL
B.y.ramaiah,INC,0,Post Graduate,48,NANDYAL
G. Balaswamy,IND, 2 ,Doctorate,42,NANDYAL
I V Pakkir Reddy,IND,0,Graduate,66,NANDYAL
Kommusani Pedda Kambagiriswami,IND,0,10th Pass,33,NANDYAL
M Ramana Reddy,IND,0,8th Pass,50,NANDYAL
Mallikarjuna Reddy Nossam,Jai Samaikyandhra Party,0,Post Graduate,30,NANDYAL
Nashyam Mohammad Farook,TDP, 4 ,10th Pass,62,NANDYAL
Obulesu Thudum,BSP,0,Post Graduate,38,NANDYAL
P V N Reddy,All India Majlis-E-Ittehadul Muslimeen,0,Graduate Professional,36,NANDYAL
Pichika Narendra Dev,IND,0,10th Pass,49,NANDYAL
Pidisala Vijay Kumar,IND,0,Others,37,NANDYAL
Ullagi David Jaya Kumar,AAP,0,Doctorate,56,NANDYAL
Vangala Sreenivasa Reddy,IND, 1 ,Graduate,0,NANDYAL
Rayapati Sambasiva Rao,TDP, 2 ,Graduate,70,NARASARAOPET
Akki Reddy Bhimanadula,Pyramid Party of India,0,10th Pass,33,NARASARAOPET
Ayodhya Rami Reddy Alla,Yuvajana Sramika Rythu Congress Party, 1 ,Post Graduate,50,NARASARAOPET
Jangala Singaraiah,IND,0,10th Pass,38,NARASARAOPET
Kanumuri Koteswara Rao,IND,0,Graduate,45,NARASARAOPET
Kondapalli Venkateswarlu,INC,0,Graduate Professional,58,NARASARAOPET
Mekala Hanumantha Rao Yadav,BSP, 4 ,Post Graduate,35,NARASARAOPET
Ramesh Paruvuri,IND,0,Illiterate,29,NARASARAOPET
Ravu Subrahmanyam,IND,0,Graduate,37,NARASARAOPET
Sivaparapu Rosaiah,Marxist Communist Party of India (United),0,Graduate,42,NARASARAOPET
Yeluri Srilatha,Jai Samaikyandhra Party,0,Graduate,28,NARASARAOPET
Gokaraju Ganga Raju,BJP, 1 ,Graduate,69,NARSAPURAM
Badampudi Siva,IND,0,Graduate,27,NARSAPURAM
Chintapalli Kanaka Rao,BSP,0,Post Graduate,55,NARSAPURAM
Gitadas Das W/o Hariharadas Das,Prem Janata Dal,0,8th Pass,28,NARSAPURAM
Kanumuri Bapiraju S/o. Krishnam Raju,INC,0,12th Pass,66,NARSAPURAM
Medapati Varahala Reddy,IND,0,Others,38,NARSAPURAM
Nalli Rajesh,Republican Paksha (Khoripa), 1 ,Others,31,NARSAPURAM
"Polasapalli Saroja,",Jai Samaikyandhra Party, 6 ,Post Graduate,33,NARSAPURAM
Sekhar Babu Dorababu Addanki,IND,0,10th Pass,44,NARSAPURAM
Sivaji Gottumukkala,IND,0,Post Graduate,45,NARSAPURAM
Svpkh Gopala Krishnam Raju S/o. Venkathiraju,Pyramid Party of India,0,Post Graduate,48,NARSAPURAM
Vangalapudi Yeshayya,IND,0,5th Pass,40,NARSAPURAM
Vanka Ravindranath S/o Satyanarayana,Yuvajana Sramika Rythu Congress Party,0,12th Pass,53,NARSAPURAM
Voleti Venkata Lakshmana Rao,IND,0,Post Graduate,49,NARSAPURAM
Mekapati Rajamohan Reddy,Yuvajana Sramika Rythu Congress Party, 2 ,Graduate Professional,69,NELLORE
Adala Prabhakara Reddy,TDP,0,12th Pass,64,NELLORE
Ananda Rao Sompalli,IND, 1 ,Graduate,52,NELLORE
Cchemikala Tirupati,Andhra Rastra Praja Samithi,0,Illiterate,43,NELLORE
Chandra Sekhar Yadav Muchakala,Rajyadhikara Party,0,Post Graduate,45,NELLORE
Kolati Gopinath,Pyramid Party of India,0,Graduate Professional,33,NELLORE
Malli Venkateswarlu,IND,0,12th Pass,39,NELLORE
Malyadri Ravulakollu,IND,0,Post Graduate,31,NELLORE
Meda Malla Reddy,IND,0,5th Pass,63,NELLORE
Panditi Subbaiah,IND,0,10th Pass,42,NELLORE
Pattapu Ravi,BSP,0,Post Graduate,56,NELLORE
Sukpalli Naveen,IND,0,Graduate Professional,27,NELLORE
Syed Haneef,Jai Samaikyandhra Party, 2 ,Post Graduate,43,NELLORE
Vakati Narayana Reddy,INC,0,Graduate,51,NELLORE
Yarram Venkata Subbareddy,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,53,ONGOLE
Battu Balajee Rao,IND,0,10th Pass,44,ONGOLE
Bellamkonda Venkata Rao,IND,0,5th Pass,46,ONGOLE
Chapala Venkata Rao,IND,0,10th Pass,30,ONGOLE
Dama Mohan Rao,IND,0,8th Pass,58,ONGOLE
Darisi Veera Venkata Pavan Kumar @ Darisi Pavana Kumar,INC,0,Graduate Professional,52,ONGOLE
Gollapalli Kishore Kumar Reddy,Jai Samaikyandhra Party,0,Post Graduate,35,ONGOLE
Kavuri Venu Babu Naidu,IND, 2 ,10th Pass,37,ONGOLE
Magunta Srinivasulu Reddy,TDP,0,Graduate,60,ONGOLE
Mattegunta Kiran Dasaranna,IND,0,Post Graduate,32,ONGOLE
Pammi Venkareddy,Pyramid Party of India,0,12th Pass,39,ONGOLE
Pidaparthi Madhu Sudhana Reddy,IND,0,Graduate,34,ONGOLE
Sadam Satyanarayana Raja Yadav,AAP,0,Post Graduate,35,ONGOLE
Somisetty Radha Krishna,IND,0,Graduate,43,ONGOLE
Vemula Krishna Rao,BSP,0,Graduate Professional,34,ONGOLE
Murali Mohan Maganti,TDP, 1 ,12th Pass,73,RAJAHMUNDRY
Annamdevula Dharma Rao,IND,0,Illiterate,62,RAJAHMUNDRY
Boddu Venkata Ramana Chowdary,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,39,RAJAHMUNDRY
Cheekatla Venkateswara Rao,IND, 1 ,Graduate,46,RAJAHMUNDRY
Illa Govinda Rajan,IND,0,Others,36,RAJAHMUNDRY
Kandula Lakshmi Durgesh Prasad,INC, 1 ,Post Graduate,55,RAJAHMUNDRY
Kollabathula Richmond Carey,Gareeb Aadmi Party,0,Graduate,40,RAJAHMUNDRY
Marre Babji,BSP,0,Post Graduate,47,RAJAHMUNDRY
Meda Srinivas,Rashtriya Praja Congress (Secular), 4 ,Graduate Professional,44,RAJAHMUNDRY
Mullapudi Satyanarayana,Jai Samaikyandhra Party, 2 ,Post Graduate,43,RAJAHMUNDRY
Mutyala Rambabu,IND,0,Graduate,30,RAJAHMUNDRY
Palla Venkata Naidu,IND,0,12th Pass,47,RAJAHMUNDRY
Polu Vengala Reddy,IND,0,12th Pass,66,RAJAHMUNDRY
Srinivasa Rao Sangisetti,Pyramid Party of India,0,5th Pass,47,RAJAHMUNDRY
P.v.midhun Reddy,Yuvajana Sramika Rythu Congress Party, 1 ,Post Graduate,36,RAJAMPET
Annayyagari Sai Prathap,INC,0,12th Pass,69,RAJAMPET
Daggubati Purandeswari,BJP,0,Graduate,54,RAJAMPET
G.mujeeb Hussain,Jai Samaikyandhra Party,0,Graduate,56,RAJAMPET
N. Deva,Hindustan Janta Party,0,10th Pass,33,RAJAMPET
Nallugari Venkata Subbaiah,BSP,0,Graduate,37,RAJAMPET
S Narendra Babu,Mahajana Socialist Party,0,12th Pass,31,RAJAMPET
V Pattabhi,IND,0,10th Pass,0,RAJAMPET
Rammohannaidu Kinjarapu,TDP,0,Post Graduate,27,SRIKAKULAM
Boddepalli Raja Rao,BSP,0,10th Pass,47,SRIKAKULAM
Jaidev Injarapu,AAP,0,Post Graduate,41,SRIKAKULAM
Kadiyam Jayalakshmi,Pyramid Party of India,0,Graduate,32,SRIKAKULAM
Killi Krupa Rani,INC,0,Graduate Professional,52,SRIKAKULAM
Kinjarapu Tejeswara Rao,IND,0,Post Graduate,31,SRIKAKULAM
Paidi Raja Rao,Jai Samaikyandhra Party,0,Graduate,40,SRIKAKULAM
Shanthi Reddy,Yuvajana Sramika Rythu Congress Party,0,12th Pass,45,SRIKAKULAM
Tota Tejeswara Rao,IND,0,Graduate Professional,36,SRIKAKULAM
Vasudeva Rao Boddu,CPI(ML)L,0,5th Pass,41,SRIKAKULAM
Varaprasad Rao Velagapalli,Yuvajana Sramika Rythu Congress Party,0,Doctorate,61,TIRUPATI
Chinta Mohan,INC,0,Graduate Professional,59,TIRUPATI
Degala Surya Narayana,Pyramid Party of India,0,Others,39,TIRUPATI
"Dr. U Ramachandra, M.b.b.s",BSP, 1 ,Graduate Professional,43,TIRUPATI
Jayaram Karumanchi,BJP,0,12th Pass,54,TIRUPATI
Kalavapalli Sahadevaiah,IND,0,Graduate Professional,46,TIRUPATI
Karatapu Subbaiah Munirathnam,IND,0,Graduate,60,TIRUPATI
Kattamanchi Prabhakar,IND,0,Post Graduate,46,TIRUPATI
Kothapalli Subramanyam,CPI(M),0,Graduate Professional,45,TIRUPATI
Manapati Solmon,Andhra Rastra Praja Samithi,0,Graduate Professional,60,TIRUPATI
Neerugutta Nageswara,AAP, 1 ,Graduate,26,TIRUPATI
Nune Vengaiah,IND,0,Graduate,56,TIRUPATI
Songa Ratnamma,IND,0,10th Pass,54,TIRUPATI
Srinivas Kesineni,TDP, 3 ,10th Pass,48,VIJAYAWADA
Altaf Ali Mohammad,IND,0,5th Pass,36,VIJAYAWADA
Avinash Devineni,INC,0,Post Graduate,26,VIJAYAWADA
Bolisetty Hari Babu,IND,0,Illiterate,55,VIJAYAWADA
Chatragadda Pratap,IND,0,12th Pass,25,VIJAYAWADA
Dasari Venkata Nagesh,IND,0,Graduate Professional,50,VIJAYAWADA
Gundapaneni Raja Kumari,Pyramid Party of India,0,Post Graduate,54,VIJAYAWADA
Harmohinder Singh Sahni,AAP,0,12th Pass,62,VIJAYAWADA
Ishwarya Lakshmi Chinnam,Jai Samaikyandhra Party,0,Post Graduate,35,VIJAYAWADA
Kambala Subrahmanyam,Welfare Party Of India,0,Graduate,39,VIJAYAWADA
Phani Prakash M,IND,0,Others,61,VIJAYAWADA
Pusala Venkata Krishnaiah,IND,0,Post Graduate,56,VIJAYAWADA
Rajendra Prasad Koneru,IND,0,8th Pass,42,VIJAYAWADA
Rajendra Prasad Koneru,Yuvajana Sramika Rythu Congress Party, 1 ,Graduate,63,VIJAYAWADA
Ramachandra Prasad Koneru,IND,0,5th Pass,42,VIJAYAWADA
Ramalingeswara Rao Chigurupati,BSP, 1 ,Others,37,VIJAYAWADA
Sarat Babu Surapaneni,IND,0,Illiterate,64,VIJAYAWADA
Srinivasa Rao Tatineni,IND,0,8th Pass,55,VIJAYAWADA
V.radha Krishna Murthy,IND,0,Post Graduate,72,VIJAYAWADA
Yaram Katam Raju,IND,0,Illiterate,52,VIJAYAWADA
Dr. Kambhampati Hari Babu,BJP,0,Doctorate,60,VISAKHAPATNAM
Ayala Somayajula Bhavani Sankar Sastry,Indian Christian Secular Party, 1 ,Post Graduate,49,VISAKHAPATNAM
Bolisetti Satyanarayana,INC,0,Graduate,57,VISAKHAPATNAM
Brahma Swaroop Kasibhatta,IND,0,Graduate Professional,48,VISAKHAPATNAM
Budda Chandra Sekhar,IND,0,Post Graduate,36,VISAKHAPATNAM
Dadi Jyothi Bhavani,Pyramid Party of India,0,10th Pass,43,VISAKHAPATNAM
Durga Prasad Guntu,IND,0,Graduate,45,VISAKHAPATNAM
Gedela Krishna Rao,IND,0,Post Graduate,60,VISAKHAPATNAM
Imandi Venkata Kurmarao,BSP,0,Graduate Professional,43,VISAKHAPATNAM
Jampana Padmaja,IND,0,Post Graduate,34,VISAKHAPATNAM
Jolla Taraka Rama Rao,Samaikyandhra Parirakshana Samithi, 2 ,10th Pass,43,VISAKHAPATNAM
Kuna Ramam,AAP,0,Post Graduate,51,VISAKHAPATNAM
Kutikuppala Surya Rao,IND,0,Doctorate,60,VISAKHAPATNAM
Ronanki Chalapathi Rao,IND,0,10th Pass,60,VISAKHAPATNAM
Sabbam Hari,Jai Samaikyandhra Party,0,12th Pass,60,VISAKHAPATNAM
Satyanarayan Patnaik Kurada,IND,0,12th Pass,50,VISAKHAPATNAM
Seemakurthi Srinivasa Rao,IND,0,10th Pass,41,VISAKHAPATNAM
Surapureddy Nagendra Sairam,IND,0,Post Graduate,27,VISAKHAPATNAM
Tanuku Divakar,IND,0,Post Graduate,46,VISAKHAPATNAM
Uma Maheswara Rao Areti,IND,0,Post Graduate,33,VISAKHAPATNAM
Vijayamma Yaduguri Sandinti,Yuvajana Sramika Rythu Congress Party,0,10th Pass,58,VISAKHAPATNAM
Yammanuru Venkata Sreenadh Reddy,IND,0,Others,39,VISAKHAPATNAM
Ashok Gajapathi Raju Pusapati,TDP,0,10th Pass,62,VIZIANAGARAM
Bonu Krishna,BSP, 1 ,12th Pass,50,VIZIANAGARAM
Hari Kishan Kuppili,IND,0,Doctorate,37,VIZIANAGARAM
Jhansi Lakshmi Botcha,INC,0,Doctorate,50,VIZIANAGARAM
Naru Simhadri Naidu,AAP,0,Post Graduate,58,VIZIANAGARAM
Prasada Rao Nanda,Pyramid Party of India,0,Post Graduate,42,VIZIANAGARAM
Tadivaka Ramesh Naidu,Jai Samaikyandhra Party,0,Graduate,44,VIZIANAGARAM
Venkata Swetha Chalapathi Kumara Krishna Rangarao Ravu,Yuvajana Sramika Rythu Congress Party,0,12th Pass,33,VIZIANAGARAM
Yella Rao Siyyadula,IND,0,12th Pass,33,VIZIANAGARAM
Ninong Ering,INC,0,Graduate,55,ARUNACHAL EAST
Tapir Gao,BJP,0,Post Graduate,50,ARUNACHAL EAST
Wangman Lowangcha,PPA,0,Graduate,54,ARUNACHAL EAST
Kiren Rijiju,BJP,0,Graduate Professional,42,ARUNACHAL WEST
Gicho Kabak,NCP,0,10th Pass,49,ARUNACHAL WEST
